timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650707404808,1293,Open registration page Request,200,OK,Thread Group of 300 users 3-63,text,true,,6401,252,3,4,https://blazedemo.com/register,682,0,82
1650707404808,682,Open registration page Request-0,302,Found,Thread Group of 300 users 3-63,text,true,,227,126,3,4,http://blazedemo.com/register,682,0,82
1650707405491,610,Open registration page Request-1,200,OK,Thread Group of 300 users 3-63,text,true,,6174,126,3,4,https://blazedemo.com/register,597,0,183
1650707405654,791,Login,200,OK,Thread Group of 300 users 3-62,text,true,,5796,403,3,4,https://blazedemo.com/login,313,0,0
1650707405654,313,Login-0,302,Found,Thread Group of 300 users 3-62,text,true,,224,280,3,4,http://blazedemo.com/login,313,0,0
1650707405967,478,Login-1,200,OK,Thread Group of 300 users 3-62,text,true,,5572,123,3,4,https://blazedemo.com/login,475,0,0
1650707405752,1035,Open registration page Request,200,OK,Thread Group of 100 users 1-22,text,true,,6399,252,1,3,https://blazedemo.com/register,392,0,60
1650707405752,392,Open registration page Request-0,302,Found,Thread Group of 100 users 1-22,text,true,,227,126,1,3,http://blazedemo.com/register,392,0,60
1650707406145,642,Open registration page Request-1,200,OK,Thread Group of 100 users 1-22,text,true,,6172,126,1,3,https://blazedemo.com/register,632,0,196
1650707406101,844,Perform registration,200,OK,Thread Group of 300 users 3-63,text,true,,6395,518,3,4,https://blazedemo.com/register,312,0,0
1650707406101,312,Perform registration-0,302,Found,Thread Group of 300 users 3-63,text,true,,227,392,3,4,http://blazedemo.com/register,312,0,0
1650707406413,532,Perform registration-1,200,OK,Thread Group of 300 users 3-63,text,true,,6168,126,3,4,https://blazedemo.com/register,519,0,0
1650707405808,1616,Open registration page Request,200,OK,Thread Group of 300 users 3-64,text,true,,6397,252,3,4,https://blazedemo.com/register,590,0,64
1650707405808,590,Open registration page Request-0,302,Found,Thread Group of 300 users 3-64,text,true,,227,126,3,4,http://blazedemo.com/register,590,0,64
